,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
3927,"48.87584200882754,2.354916972607389",6 Square Alban Satragne 75010 Paris,2475N4359211I,B,A,52.8,4.3,Il existe plusieurs descriptifs ENR,2024-11-18
3928,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041605O,C,C,53.5,19.7,,2022-09-07
3929,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512337N,B,B,59.0,9.0,,2021-07-19
3930,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380639G,B,A,79.0,3.0,,2022-02-23
3931,"48.875528016770936,2.394047978343679",207 Rue de Belleville 75019 Paris,2475N0232679O,B,A,57.0,1.0,,2024-01-21
3932,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246157Y,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
3933,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146166E,C,C,86.0,19.0,panneaux solaires photovoltaïques,2024-12-10
3934,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1629939G,C,C,80.5,17.0,,2022-07-17
3935,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137700O,A,A,33.0,2.0,pompe à chaleur,2024-12-09
3936,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488229K,C,C,63.6,13.4,pompe à chaleur,2022-10-12
3937,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1515980H,B,A,73.1,2.3,Il existe plusieurs descriptifs ENR,2024-02-20
3938,"48.83131399584323,2.3375189871531585",20 Rue Dareau 75014 Paris,2475N2745655M,A,A,69.0,4.0,,2024-07-25
3939,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192533Y,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
3940,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909618R,B,A,44.0,3.0,,2024-03-10
3941,"48.89464204054697,2.314974045668648",119 Boulevard Bessières 75017 Paris,2375N3794194W,C,C,69.0,15.0,panneaux solaires thermiques,2023-10-17
3942,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1348138V,B,A,67.0,4.0,,2024-04-09
3943,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158596F,B,B,26.0,7.1,,2022-09-07
3944,"48.837711963966576,2.2864859709866305",305 Rue Lecourbe 75015 Paris,2475N4532678D,A,A,27.2,5.4,,2024-12-19
