,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
5571,"48.87752798707485,2.4042870213107284",13 Passage des Mauxins 75019 Paris,2275N0456245E,B,B,52.0,10.0,,2022-01-30
5572,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347516V,C,C,90.2,19.8,,2022-06-08
5573,"48.87021303208189,2.4042760664362475",30 Rue du Groupe Manouchian 75020 Paris,2275N3219391A,C,C,81.8,17.7,,2022-09-21
5574,"48.84531302111458,2.3952040659586826",32 Rue de Picpus 75012 Paris,2375N1880084G,B,A,41.0,2.0,chauffage au bois,2023-04-04
5575,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835177C,B,B,41.0,7.0,pompe à chaleur,2023-12-04
5576,"48.85862197617325,2.3773349322337536",5 Impasse des Trois Soeurs 75011 Paris,2475N4486824N,C,C,61.2,13.3,,2024-12-11
5577,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166104X,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
5578,"48.8585239955236,2.3766359413420637",28b Rue Popincourt 75011 Paris,2275N1600665I,C,C,90.2,19.8,,2022-07-06
5579,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139105S,C,C,82.0,17.0,panneaux solaires photovoltaïques,2024-11-21
5580,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3284994G,C,C,75.6,12.5,réseau de chaleur ou de froid vertueux,2023-09-20
5581,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380778P,B,A,69.0,2.0,,2022-02-23
5582,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N0598568F,B,A,86.8,2.7,panneaux solaires photovoltaïques,2024-01-02
5583,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114469B,A,A,33.0,2.0,pompe à chaleur,2024-12-09
5584,"48.83732501805456,2.3918729863104717",4 Rue de la Lancette 75012 Paris,2475N2374586P,C,A,64.0,4.3,,2024-05-26
5585,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041296R,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
5586,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192140V,A,A,17.6,1.2,pompe à chaleur,2022-05-30
5587,"48.89181302961532,2.3266430615310387",4 Passage Legendre 75017 Paris,2375N2375034U,C,C,71.7,15.8,panneaux solaires photovoltaïques,2023-07-06
5588,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0521230O,C,C,77.0,16.0,,2021-10-11
5589,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835193S,B,B,41.0,7.0,pompe à chaleur,2023-12-04
5590,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909504H,B,A,43.0,3.0,,2024-03-10
5591,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1160655Y,B,A,78.5,2.4,Il existe plusieurs descriptifs ENR,2024-02-20
5592,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158485Y,B,B,30.9,8.7,,2022-09-07
5593,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129370P,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
5594,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2313397E,A,A,48.0,3.0,,2024-05-15
5595,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0941958P,C,C,121.9,27.1,,2021-12-16
5596,"48.84531302111458,2.3952040659586826",32 Rue de Picpus 75012 Paris,2375N1880091N,B,A,37.0,2.0,chauffage au bois,2023-04-04
5597,"48.875420007690586,2.412486037976819",19 Rue des Frères Flavien 75020 Paris,2275N3239722Z,B,A,67.3,2.1,Il existe plusieurs descriptifs ENR,2022-10-25
5598,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0936376S,B,B,48.0,7.0,,2021-10-19
5599,"48.875331001376864,2.4125099473207445",17 Rue des Frères Flavien 75020 Paris,2475N1121678V,A,A,52.4,1.7,Il existe plusieurs descriptifs ENR,2024-02-20
5600,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344621Z,B,B,30.9,9.5,chauffe-eau thermodynamique,2022-09-07
5601,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344220O,C,C,35.8,11.4,chauffe-eau thermodynamique,2022-09-07
5602,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116668Q,C,C,51.0,11.0,pompe à chaleur,2024-12-10
5603,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129029M,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
5604,"48.89464204054697,2.314974045668648",119 Boulevard Bessières 75017 Paris,2375N3794222Y,C,C,58.6,12.7,panneaux solaires thermiques,2023-10-17
5605,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346328D,C,C,86.6,19.0,,2022-06-08
5606,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1464527G,C,C,63.2,13.7,panneaux solaires thermiques,2022-06-27
5607,"48.82830995577718,2.37359597197319",8 Rue Leredde 75013 Paris,2275N0140041M,C,C,54.0,11.5,,2022-01-18
5608,"48.86397602348154,2.365210039760931",64 Rue de Saintonge 75003 Paris,2275N2948788F,C,C,70.0,15.0,,2022-12-05
5609,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1558569H,C,C,57.0,12.0,,2023-04-24
5610,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125119Q,A,A,10.5,3.3,,2022-09-07
5611,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137716E,A,A,33.0,2.0,pompe à chaleur,2024-12-09
5612,"48.82844401539535,2.352314989466344",5 Rue Simonet 75013 Paris,2275N1725918T,C,C,80.3,17.7,panneaux solaires photovoltaïques,2022-07-26
5613,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284932W,B,B,49.8,8.1,réseau de chaleur ou de froid vertueux,2023-09-20
5614,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347469A,C,C,73.1,15.9,,2022-06-08
5615,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3245006H,B,A,45.0,3.0,chauffe-eau thermodynamique,2024-09-17
5616,"48.84267703271404,2.3056680542510013",44 Rue Blomet 75015 Paris,2475N0406310R,B,B,48.5,10.4,,2023-12-03
5617,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192239Q,A,A,17.6,1.2,pompe à chaleur,2022-05-30
5618,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041643A,C,C,53.5,19.7,,2022-09-07
5619,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3284987Z,B,B,57.1,9.4,réseau de chaleur ou de froid vertueux,2023-09-20
5620,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503821Z,C,C,72.0,11.0,,2021-07-19
5621,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503865R,C,C,77.0,12.0,,2021-07-19
5622,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347425I,C,C,90.1,19.8,,2022-06-08
5623,"48.88798101051255,2.390665936003547",186 Avenue Jean Jaurès 75019 Paris,2175N0866480K,B,A,71.0,0.1,,2021-10-19
5624,"48.89093695608735,2.3274999681367423",21 Rue Etex 75018 Paris,2175N0607274Y,C,C,57.9,12.6,,2021-10-21
5625,"48.89528002621552,2.346351023926362",43 Boulevard Ornano 75018 Paris,2175N0414001J,C,C,52.5,11.5,,2021-09-28
5626,"48.834720974155324,2.3197299611790845",53b Rue Raymond Losserand 75014 Paris,2175N0519985R,C,C,74.0,16.0,,2021-10-11
5627,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0520799Z,C,C,68.0,14.0,,2021-10-11
5628,"48.867728026077394,2.4082000083083",45 Rue du Capitaine Ferber 75020 Paris,2375N2431482W,C,C,122.4,26.8,,2023-07-11
5629,"48.83387096701638,2.3077679701104974",52 Rue de Vouillé 75015 Paris,2175N0727301J,C,C,56.2,12.1,,2021-10-17
5630,"48.83234801031167,2.3530959862759246",Rue Abel Hovelacque 75013 Paris,2275N0853133C,A,A,59.4,4.6,,2022-02-10
5631,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909575A,A,A,30.0,2.0,,2024-03-10
5632,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158630N,B,B,30.0,7.9,,2022-09-07
5633,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488291U,C,C,66.9,14.1,pompe à chaleur,2022-10-12
5634,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501208C,A,A,52.0,3.0,réseau de chaleur ou de froid vertueux,2023-05-03
5635,"48.851414961541664,2.3161119746113394",6 Rue Monsieur 75007 Paris,2475N3384714R,C,C,112.4,18.8,réseau de chaleur ou de froid vertueux,2024-09-24
5636,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909464T,A,A,30.0,2.0,,2024-03-10
5637,"48.84643202413541,2.405943002097207",81 Avenue du Docteur Arnold Netter 75012 Paris,2375N4121269R,B,B,48.9,8.0,réseau de chaleur ou de froid vertueux,2023-11-20
5638,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709571E,A,A,34.3,4.0,Il existe plusieurs descriptifs ENR,2024-10-21
5639,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1121669M,A,A,53.7,1.7,Il existe plusieurs descriptifs ENR,2024-02-20
5640,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136406T,B,B,30.6,8.7,,2022-09-07
5641,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158366J,B,B,28.2,8.1,,2022-09-07
5642,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0343970Y,B,B,23.5,6.4,chauffe-eau thermodynamique,2022-09-07
5643,"48.837711963966576,2.2864859709866305",305 Rue Lecourbe 75015 Paris,2475N4532698X,B,B,30.4,6.1,,2024-12-19
5644,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041397O,C,C,53.5,19.7,,2022-09-07
5645,"48.875528016770936,2.394047978343679",207 Rue de Belleville 75019 Paris,2475N0282452X,B,A,56.0,1.0,,2024-01-24
5646,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158544F,B,B,28.3,8.1,,2022-09-07
5647,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136427O,B,B,28.0,7.9,,2022-09-07
5648,"48.83131399584323,2.3375189871531585",20 Rue Dareau 75014 Paris,2475N2745552N,B,A,94.0,6.0,,2024-07-25
5649,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0343791B,B,B,28.4,8.3,chauffe-eau thermodynamique,2022-09-07
5650,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114388Y,A,A,30.0,2.0,pompe à chaleur,2024-12-09
5651,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501230Y,A,A,51.0,3.0,réseau de chaleur ou de froid vertueux,2023-05-03
5652,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139031W,C,C,81.0,17.0,panneaux solaires photovoltaïques,2024-11-21
5653,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0941843E,D,D,165.0,36.9,,2021-12-16
5654,"48.834720974155324,2.3197299611790845",53b Rue Raymond Losserand 75014 Paris,2175N0519986S,C,C,80.0,17.0,,2021-10-11
5655,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222501S,B,A,57.1,4.1,Il existe plusieurs descriptifs ENR,2024-08-28
5656,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1228158D,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
5657,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129304B,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
5658,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136419G,B,B,27.6,7.7,,2022-09-07
5659,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346043E,C,C,72.7,15.8,,2022-06-08
5660,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347487S,C,C,88.5,19.4,,2022-06-08
5661,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0940508V,C,C,120.4,26.8,,2021-12-16
5662,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136421I,B,B,28.8,8.3,,2022-09-07
5663,"48.89246802951179,2.359600044683463",31 Rue de la Chapelle 75018 Paris,2375N3770307D,C,A,66.0,4.0,pompe à chaleur,2023-10-15
5664,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380912T,B,A,99.0,4.0,,2022-02-23
5665,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347444B,C,C,91.7,20.1,,2022-06-08
5666,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158582R,B,B,28.3,8.2,,2022-09-07
5667,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125287C,A,A,11.7,3.6,,2022-09-07
5668,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2306709Y,D,D,164.0,37.0,cogénération,2024-06-23
5669,"48.84797599291486,2.3657439805525935",3 Boulevard Bourdon 75004 Paris,2175N0444578K,C,C,71.0,15.0,,2021-09-23
5670,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158388F,B,B,28.5,8.2,,2022-09-07
5671,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192137S,A,A,17.6,1.2,pompe à chaleur,2022-05-30
5672,"48.84773299595253,2.2968450263111118",Rue Letellier 75015 Paris,2175N0930612A,C,C,64.0,14.0,,2021-12-13
5673,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1128942D,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
5674,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0940925W,C,C,121.8,27.1,,2021-12-16
5675,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041446L,C,C,53.5,19.7,,2022-09-07
5676,"48.82889903470134,2.31556495659946",10 Villa Mallebay 75014 Paris,2375N2482055Z,A,A,23.6,1.7,Il existe plusieurs descriptifs ENR,2023-05-10
5677,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137712A,A,A,33.0,2.0,pompe à chaleur,2024-12-09
5678,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835190P,B,B,38.0,6.0,pompe à chaleur,2023-12-04
5679,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454946W,B,B,65.0,10.0,,2021-09-06
5680,"48.834798031534,2.3207869688406735",130b Rue du Château 75014 Paris,2175N0520998Q,B,B,66.0,11.0,chauffe-eau thermodynamique,2021-10-11
5681,"48.887093039938215,2.3608449556310283",71 Rue Philippe de Girard 75018 Paris,2475N2015852D,C,C,59.0,12.0,,2024-04-23
5682,"48.82899795943467,2.3078750409538005",196 Rue Raymond Losserand 75014 Paris,2175N0985220I,C,C,86.2,18.5,,2021-12-20
5683,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166060F,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
5684,"48.8585239955236,2.3766359413420637",28b Rue Popincourt 75011 Paris,2275N1600644N,C,C,124.1,27.5,,2022-07-06
5685,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205592I,C,C,76.8,12.7,réseau de chaleur ou de froid vertueux,2023-09-20
5686,"48.875420007690586,2.412486037976819",19 Rue des Frères Flavien 75020 Paris,2475N1855429A,B,A,68.7,2.2,Il existe plusieurs descriptifs ENR,2024-02-20
5687,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114427L,A,A,32.0,2.0,pompe à chaleur,2024-12-09
5688,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835172X,B,B,41.0,7.0,pompe à chaleur,2023-12-04
5689,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227906L,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
5690,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0954887W,C,C,122.3,27.0,,2021-12-19
5691,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1558510A,C,C,56.0,12.0,,2023-04-24
5692,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345824T,C,C,78.7,17.2,,2022-06-08
5693,"48.87021303208189,2.4042760664362475",30 Rue du Groupe Manouchian 75020 Paris,2275N3219422F,C,C,79.6,17.2,,2022-09-21
5694,"48.867728026077394,2.4082000083083",45 Rue du Capitaine Ferber 75020 Paris,2375N2431496K,C,C,98.4,21.4,,2023-07-11
5695,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344089N,B,B,34.0,9.8,chauffe-eau thermodynamique,2022-09-07
5696,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0093014V,A,A,11.5,2.5,panneaux solaires photovoltaïques,2024-01-08
5697,"48.83131399584323,2.3375189871531585",20 Rue Dareau 75014 Paris,2475N2745645C,B,B,109.0,7.0,,2024-07-25
5698,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380852L,B,A,68.0,2.0,,2022-02-23
5699,"48.8336770126128,2.4022919710703787",73 Boulevard Poniatowski 75012 Paris,2475N1134531E,B,B,52.2,8.9,chauffe-eau thermodynamique,2024-01-09
5700,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488346X,C,C,66.9,14.1,pompe à chaleur,2022-10-12
5701,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501183D,B,A,69.0,4.0,réseau de chaleur ou de froid vertueux,2023-05-03
5702,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878406C,A,A,62.0,0.1,,2021-10-19
5703,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227959M,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
5704,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346053O,C,C,72.7,15.8,,2022-06-08
5705,"48.82854301667141,2.310733944724113",3 Rue Maria Helena Vieira Da Silva 75014 Paris,2275N2989237Y,A,A,15.6,1.6,pompe à chaleur,2022-12-07
5706,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878334I,A,A,48.0,0.1,,2021-10-19
5707,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192448R,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
5708,"48.825855989705424,2.352999054962969",175b Rue de Tolbiac 75013 Paris,2275N2645868L,C,C,56.0,11.0,pompe à chaleur,2022-10-17
5709,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N1013834Z,A,A,55.2,2.2,Il existe plusieurs descriptifs ENR,2024-01-02
5710,"48.832272972636574,2.3984450278237084",19 Boulevard Poniatowski 75012 Paris,2475N1443550N,B,A,33.0,2.0,pompe à chaleur,2024-04-17
5711,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146189B,C,C,51.0,11.0,panneaux solaires photovoltaïques,2024-12-10
5712,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0520807H,C,C,77.0,16.0,,2021-10-11
5713,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878359H,A,A,48.0,0.1,,2021-10-19
5714,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246164F,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
5715,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166254R,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
5716,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158441G,B,B,28.0,7.9,,2022-09-07
5717,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878364M,A,A,54.0,0.1,,2021-10-19
5718,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0940186L,C,C,140.4,31.3,,2021-12-16
5719,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380672N,B,A,65.0,2.0,,2022-02-23
5720,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222388J,A,A,30.9,2.0,Il existe plusieurs descriptifs ENR,2024-08-28
5721,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488370V,C,C,66.9,14.1,pompe à chaleur,2022-10-12
5722,"48.8547269594012,2.39899902877664",38 Rue de Terre Neuve 75020 Paris,2375N1736547P,B,B,29.5,6.2,,2023-04-19
5723,"48.854389028559616,2.381796034689783",8 Rue Godefroy Cavaignac 75011 Paris,2275N1299749Q,C,C,78.0,17.0,,2022-06-12
5724,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0961249O,C,C,111.5,24.6,,2021-12-20
5725,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136354T,B,B,24.5,6.6,,2022-09-07
5726,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878399V,A,A,59.0,0.1,,2021-10-19
5727,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454812S,B,B,64.0,10.0,,2021-09-06
5728,"48.851414961541664,2.3161119746113394",6 Rue Monsieur 75007 Paris,2475N3384745W,C,C,112.4,18.8,réseau de chaleur ou de froid vertueux,2024-09-24
5729,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344463X,B,B,33.2,9.7,chauffe-eau thermodynamique,2022-09-07
5730,"48.829685003016706,2.315157001816516",21 Rue Jonquoy 75014 Paris,2475N1834656B,C,C,54.2,11.6,panneaux solaires thermiques,2024-05-05
5731,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488319W,C,C,66.9,14.1,pompe à chaleur,2022-10-12
5732,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114449H,A,A,33.0,2.0,pompe à chaleur,2024-12-09
5733,"48.89528002621552,2.346351023926362",43 Boulevard Ornano 75018 Paris,2175N0414024G,C,C,57.5,12.6,,2021-09-28
5734,"48.84643202413541,2.405943002097207",81 Avenue du Docteur Arnold Netter 75012 Paris,2375N4121220U,B,B,59.2,9.8,réseau de chaleur ou de froid vertueux,2023-11-20
5735,"48.8933119663373,2.315717957545147",188b Avenue de Clichy 75017 Paris,2475N2313452H,A,A,57.0,3.0,,2024-05-15
5736,"48.875528016770936,2.394047978343679",207 Rue de Belleville 75019 Paris,2475N0283378N,B,A,56.0,1.0,,2024-01-24
5737,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244943W,C,A,57.0,4.0,chauffe-eau thermodynamique,2024-09-17
5738,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227345W,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
5739,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246136D,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
5740,"48.82754200129207,2.3792399441980243",71 Avenue de France 75013 Paris,2375N3284804Y,B,B,56.7,9.3,réseau de chaleur ou de froid vertueux,2023-09-20
5741,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0521213X,C,C,74.0,16.0,,2021-10-11
5742,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2306860T,D,D,144.0,32.0,cogénération,2024-06-23
5743,"48.82830995577718,2.37359597197319",8 Rue Leredde 75013 Paris,2275N0140036H,C,C,73.0,15.8,,2022-01-18
5744,"48.82716396478538,2.3795980616521337",61 Avenue de France 75013 Paris,2375N3205766A,B,B,61.6,10.1,réseau de chaleur ou de froid vertueux,2023-09-20
5745,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0949212P,C,C,86.3,19.0,,2021-12-19
5746,"48.82099002981994,2.334762033762907",Boulevard Jourdan 75014 Paris,2375N2036260A,C,C,80.6,13.5,Il existe plusieurs descriptifs ENR,2023-05-21
5747,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139065E,C,C,81.0,17.0,panneaux solaires photovoltaïques,2024-11-21
5748,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512346W,C,C,69.0,11.0,,2021-07-19
5749,"48.8336770126128,2.4022919710703787",73 Boulevard Poniatowski 75012 Paris,2475N1134143G,B,B,45.0,7.9,chauffe-eau thermodynamique,2024-01-09
5750,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0951068Z,C,C,85.2,18.8,,2021-12-19
5751,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227830N,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
5752,"48.84643202413541,2.405943002097207",81 Avenue du Docteur Arnold Netter 75012 Paris,2375N4121225Z,B,B,59.2,9.8,réseau de chaleur ou de froid vertueux,2023-11-20
5753,"48.887093039938215,2.3608449556310283",71 Rue Philippe de Girard 75018 Paris,2475N2015813Q,C,C,80.0,16.0,,2024-04-23
5754,"48.864088966591844,2.349580010173014",17 Rue de Turbigo 75002 Paris,2275N1585606D,B,A,41.0,3.0,,2022-06-13
5755,"48.875331001376864,2.4125099473207445",17 Rue des Frères Flavien 75020 Paris,2475N1121685C,B,A,75.3,2.3,Il existe plusieurs descriptifs ENR,2024-02-20
5756,"48.829685003016706,2.315157001816516",21 Rue Jonquoy 75014 Paris,2475N1834640L,C,C,68.4,14.8,panneaux solaires thermiques,2024-05-05
